Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Size Purchased,Size Exchanged
174,59,103,90,85,L,L
175,58,86,90,85,S,M
175,80,109,85,114,XS,M
177,51,80,84,100,S,L
167,73,107,74,107,XL,S
181,68,89,86,98,M,M
152,66,108,71,95,XL,L
151,59,85,87,98,XL,XL
182,77,105,75,92,XL,M
168,87,94,92,103,S,L
166,77,94,72,86,M,S
182,50,88,85,107,S,M
161,52,92,71,94,XS,S
175,59,80,92,99,XL,S
184,70,88,80,85,L,L
157,86,82,78,86,L,XL
185,64,109,79,103,S,M
156,72,88,84,106,XL,S
185,63,99,73,114,XL,M
165,64,104,80,101,L,M
173,59,108,80,99,M,L
150,58,94,69,108,M,L
159,54,86,85,105,XS,XL
165,75,104,77,113,XS,L
178,71,96,91,113,XS,S
188,74,101,72,98,L,S
177,61,83,81,92,XL,M
169,59,107,93,107,L,L
156,75,95,93,103,M,M
163,84,82,91,97,L,L
175,76,90,66,112,L,M
175,80,104,94,114,S,S
163,68,107,86,89,XS,L
156,87,101,78,94,L,XL
182,55,94,89,91,XS,M
175,64,98,94,93,XL,XL
169,78,100,68,98,L,XL
152,54,103,67,90,S,M
153,63,93,73,94,S,L
175,51,95,82,85,XL,XL
160,72,103,76,95,XS,L
151,68,85,73,92,M,XL
163,73,84,91,90,XL,M
161,76,96,91,88,S,L
175,73,95,91,90,S,XL
173,77,83,91,101,S,M
183,77,85,78,94,L,M
175,71,106,74,89,XL,M
170,54,86,67,103,L,M
177,57,96,93,91,XL,L
185,87,87,71,113,L,XL
189,77,107,82,108,S,L
158,74,104,81,94,XS,XL
172,87,94,89,103,M,XL
162,83,91,89,95,S,S
172,62,94,76,87,L,XL
166,57,102,83,114,L,L
151,62,106,67,95,XL,XL
152,87,94,67,99,L,L
189,70,88,93,106,L,XL
151,56,95,75,109,XL,M
185,75,109,70,95,L,L
165,72,94,69,111,L,S
168,87,94,77,113,XS,S
183,64,106,91,113,XS,M
155,89,86,69,107,L,XL
162,65,106,90,107,S,M
185,81,100,67,92,S,XL
171,86,92,83,107,L,S
161,69,96,86,100,XS,M
189,72,106,79,92,XS,S
156,79,89,81,92,XL,XL
168,88,80,78,85,XS,S
155,50,93,94,94,L,L
169,71,84,93,89,XL,M
176,78,109,90,114,L,XL
186,63,87,80,89,S,XL
156,77,80,89,101,M,L
154,70,86,75,106,XL,M
164,55,86,69,90,S,S
152,50,86,85,98,XS,S
186,52,83,80,106,S,M
158,79,102,78,114,S,L
164,80,86,78,106,M,S
152,83,99,77,85,XL,L
178,68,97,65,89,XS,M
166,72,90,87,98,S,S
175,89,88,75,91,M,L
170,74,93,75,113,S,XL
157,64,87,89,109,L,S
170,87,100,80,99,XL,XL
160,72,93,88,93,XS,XL
187,51,100,90,114,M,XL
157,64,96,67,99,XL,XL
173,84,106,89,111,S,S
184,59,104,81,100,XS,XL
163,63,106,93,93,M,S
159,63,105,93,91,S,L
161,84,106,78,91,XL,L
187,82,103,90,101,S,L
159,83,89,90,111,M,L
166,73,107,73,98,L,M
152,53,89,72,99,L,S
180,85,90,93,105,XS,M
161,81,103,71,108,L,XL
153,88,89,86,88,L,S
162,65,93,66,85,S,M
170,69,82,68,110,L,S
171,59,86,90,85,S,XL
153,71,108,87,105,XS,M
167,52,81,78,89,XL,M
154,60,86,77,103,S,L
168,74,96,86,89,XL,M
151,57,92,89,106,XS,L
161,58,105,77,89,XS,M
166,64,100,77,101,XL,M
183,52,92,92,96,M,XL
155,53,94,76,91,XL,XL
157,79,92,70,99,M,M
160,62,96,90,103,S,M
161,70,87,86,107,L,L
158,68,88,78,105,XL,XL
157,71,87,88,96,L,XL
160,69,95,86,103,S,S
185,86,99,72,97,XS,XL
170,59,109,81,90,S,XL
157,88,96,75,90,L,L
185,69,86,90,97,XL,M
178,67,85,74,97,XS,L
161,60,84,77,97,XL,M
163,71,96,74,104,L,L
170,67,87,85,88,L,L
171,83,105,90,89,XS,M
179,50,95,73,93,M,S
188,59,96,71,101,XL,M
156,58,87,80,102,L,XL
158,80,95,72,109,S,M
150,56,103,80,111,XS,M
175,66,109,83,99,XL,L
187,84,86,79,107,L,M
171,67,94,79,93,XS,S
159,82,103,70,90,S,S
155,53,81,73,102,L,L
166,72,103,79,85,XS,M
187,60,107,89,106,XS,S
173,58,106,71,91,XL,M
159,79,81,90,94,L,L
157,57,89,92,90,XL,M
170,89,84,72,91,XL,L
155,54,106,82,90,XS,XL
170,61,108,85,92,XL,S
188,50,83,80,86,S,L
173,64,94,79,93,S,L
182,74,92,67,109,XS,L
167,67,96,65,111,XL,L
177,87,100,77,93,S,L
181,75,102,86,91,M,L
161,89,80,93,93,M,M
159,71,107,73,87,XS,L
175,68,93,73,100,L,XL
174,88,88,72,86,L,XL
160,85,91,91,95,S,S
172,70,84,89,100,XL,L
183,75,109,69,99,M,S
189,62,108,77,85,M,S
172,85,102,66,105,S,S
178,73,81,74,101,M,S
180,75,102,90,87,S,M
156,70,102,70,106,XS,L
189,67,86,71,106,M,M
182,64,100,67,103,XL,S
170,64,88,78,104,M,L
151,55,97,80,91,S,XL
167,80,83,70,106,L,M
182,77,81,86,113,M,XL
186,57,103,72,95,S,L
183,78,107,65,114,M,S
169,70,106,84,114,M,L
184,66,80,79,102,M,S
167,73,104,81,109,L,XL
173,85,91,88,98,S,L
157,80,92,82,100,XS,L
179,83,93,88,90,XL,L
159,51,84,67,86,L,M
160,79,107,70,95,XL,M
151,57,82,81,95,XS,XL
175,56,107,87,110,M,S
185,61,106,77,94,XS,XL
182,68,83,87,88,XL,L
189,77,98,81,94,XL,L
174,64,90,85,93,XL,M
153,63,87,80,114,XS,S
168,63,91,81,97,S,XL
167,52,97,65,95,XL,M
179,55,88,70,108,M,M
168,72,84,72,89,XL,M
165,63,96,66,88,M,XL
150,63,92,79,87,L,S
161,69,85,69,94,XL,M
173,62,103,88,108,XS,L
183,76,101,91,97,XL,XL
157,84,93,84,89,XS,XL
154,89,102,94,111,S,XL
175,73,93,85,108,XL,L
179,78,83,74,85,XS,XL
162,52,97,69,109,XS,S
178,51,91,70,110,XL,L
152,69,101,85,87,M,S
161,50,100,78,97,XS,S
151,87,107,74,100,XS,XL
160,84,97,94,102,XS,L
177,56,96,68,107,XL,L
167,62,98,75,110,XL,M
162,50,83,84,104,L,M
171,78,86,79,103,M,M
161,52,88,87,114,L,L
151,73,87,73,90,XL,L
186,50,104,79,107,XL,M
156,59,86,90,91,XS,M
175,85,87,82,114,M,L
173,58,103,70,89,S,XL
161,63,96,82,100,XS,L
172,59,93,82,87,XS,S
189,89,91,86,96,XS,M
158,72,104,88,88,S,S
181,84,81,70,111,S,M
164,56,91,92,106,L,M
186,84,106,79,87,XS,XL
162,51,93,83,100,XL,XL
154,64,86,69,100,S,M
160,58,108,68,107,L,L
164,67,92,74,93,XL,M
177,73,80,71,90,XL,L
181,72,96,76,98,XS,L
184,61,82,87,93,M,M
185,70,96,94,94,S,M
170,75,87,84,110,L,L
150,79,106,77,99,XS,L
153,83,89,69,88,XS,S
175,54,101,84,109,M,S
186,80,83,90,107,L,S
172,82,108,76,105,XL,L
178,53,108,76,90,M,L
170,55,93,71,109,XL,XL
188,68,93,93,104,S,XL
189,57,92,74,114,XL,M
162,88,106,83,113,M,M
172,62,108,80,86,XS,L
165,50,83,66,100,M,M
179,55,81,68,89,M,S
153,56,81,73,114,XL,M
189,76,90,90,107,M,XL
180,83,84,65,88,XL,L
161,73,99,83,85,XL,L
175,64,100,89,92,M,M
186,84,96,87,105,L,M
182,53,91,67,94,XS,L
158,66,97,68,86,S,S
161,80,82,73,103,XL,L
154,87,84,92,96,XS,S
177,59,107,80,114,M,XL
184,76,100,71,94,M,L
154,55,99,69,96,M,L
183,55,93,77,110,S,S
183,64,95,75,105,XL,S
162,53,105,78,111,XS,M
163,56,88,81,109,XL,M
160,75,96,87,93,M,M
187,80,101,76,92,XS,S
153,51,86,85,86,S,L
182,77,89,87,105,XL,L
156,62,83,85,114,L,S
157,67,89,85,108,M,L
159,60,103,69,91,S,XL
164,62,88,88,88,S,L
187,73,92,94,103,S,L
164,78,80,72,92,S,M
154,54,94,66,108,XS,S
178,84,94,91,97,L,L
168,68,90,81,110,M,S
159,62,107,66,105,L,M
153,63,104,87,89,XL,XL
167,71,80,88,92,XL,XL
189,89,84,90,111,M,XL
174,54,108,88,94,S,S
172,78,108,94,106,XL,XL
161,71,102,82,100,XL,S
183,52,95,93,88,XL,M
185,77,107,94,111,XS,L
186,87,104,79,114,S,M
152,63,87,69,98,XL,M
158,63,101,86,114,XS,XL
167,60,81,81,87,M,XL
184,58,87,78,94,M,M
163,55,93,78,89,XL,L
153,50,83,73,106,S,S
178,74,103,69,101,S,S
177,64,86,68,95,XS,L
161,66,87,65,103,M,S
183,52,90,93,112,L,XL
150,86,107,84,101,L,S
188,66,106,75,95,L,XL
181,87,81,80,99,XL,L
175,50,88,75,92,S,XL
176,75,102,94,113,XL,L
173,88,105,74,101,XS,M
184,68,80,76,110,XL,L
188,79,82,94,114,XS,M
175,63,109,69,108,M,M
187,62,89,74,89,XS,L
172,69,84,88,113,L,M
171,75,91,77,88,XS,XL
153,76,102,93,108,M,XL
158,74,80,83,108,XL,L
153,58,88,71,95,L,M
172,59,92,80,92,S,L
151,55,107,93,100,XL,M
173,83,98,70,100,L,M
189,68,86,74,87,L,M
180,51,95,74,108,XL,XL
189,64,87,90,97,XL,S
173,65,105,86,113,S,S
175,77,98,74,88,L,XL
165,70,86,89,105,L,M
162,57,102,78,90,M,S
164,59,83,79,89,L,S
153,59,104,77,105,XS,XL
165,58,80,75,109,M,L
179,77,96,71,94,L,S
185,68,92,78,103,M,M
152,82,98,81,102,XS,XL
171,53,105,80,110,XS,M
171,52,92,65,86,S,M
161,61,88,73,100,XL,L
170,67,84,73,99,S,S
153,72,102,92,108,S,L
180,55,81,74,105,XL,L
169,51,107,79,93,L,S
164,79,83,80,107,XS,S
172,58,88,75,89,L,L
177,76,84,91,89,S,M
165,83,84,88,110,L,L
186,89,104,89,93,XL,XL
170,73,87,81,93,L,S
164,66,81,92,86,S,XL
166,78,86,94,91,L,XL
186,85,96,83,110,XS,XL
162,61,105,77,85,L,M
168,80,106,70,104,XS,S
179,58,90,79,86,M,S
167,68,94,80,110,XL,S
163,66,104,68,109,XS,L
185,89,92,89,90,M,S
169,54,97,71,104,S,M
168,88,99,91,103,M,M
153,66,82,80,88,XL,L
183,76,81,94,102,XL,M
154,57,99,81,109,S,M
181,72,92,68,102,XS,M
162,81,107,90,90,S,L
188,67,107,78,109,S,L
154,87,87,72,98,XS,M
159,61,106,69,104,XS,M
159,64,95,69,101,L,XL
187,77,97,69,102,L,S
176,87,104,91,105,XL,L
170,80,105,69,94,L,M
157,58,95,67,107,L,S
150,57,80,70,108,XS,M
177,68,87,94,103,M,S
188,57,107,65,109,XL,S
163,83,100,72,102,XL,L
170,53,81,77,88,S,XL
170,87,84,70,99,L,M
158,52,105,82,90,XS,S
166,84,94,82,110,L,XL
154,68,93,80,90,S,S
180,78,105,72,87,XS,M
187,61,109,81,95,L,L
185,79,86,79,98,S,L
182,67,83,90,86,S,S
162,73,90,74,106,XS,XL
163,81,106,65,103,XL,L
182,58,105,73,92,S,S
178,73,91,81,97,S,M
185,75,94,84,103,XL,M
159,52,85,89,89,M,XL
180,72,105,65,99,XS,XL
155,60,103,73,88,M,M
150,59,80,78,88,XL,M
156,85,97,88,102,L,L
176,62,93,69,108,XS,XL
170,78,108,70,103,XL,M
177,87,103,69,104,XL,L
165,62,86,68,106,XS,S
172,75,89,92,93,M,XL
169,69,88,80,99,L,XL
187,54,81,80,114,M,M
174,69,87,74,96,S,M
177,63,101,78,88,M,M
154,63,80,77,87,S,M
167,62,109,68,109,S,M
155,73,81,78,101,XL,S
178,64,86,90,89,S,M
168,50,104,88,111,XL,M
182,71,95,88,88,XL,S
150,83,101,73,105,M,L
152,89,83,67,91,L,S
170,52,100,74,91,M,XL
184,75,106,79,91,M,S
189,63,96,88,101,XL,XL
174,65,83,66,99,XL,S
187,70,108,66,91,L,L
183,74,82,68,104,XL,M
170,87,88,69,88,M,L
172,71,101,66,86,XL,S
155,53,94,89,106,XS,S
162,53,99,71,97,XS,L
172,79,82,83,96,XS,M
158,51,91,70,94,M,M
151,85,108,80,99,XS,L
168,70,99,78,101,M,XL
168,70,87,76,105,M,L
156,70,91,70,90,M,M
169,53,100,90,111,XS,M
166,75,94,90,105,S,L
176,51,90,86,112,L,S
151,58,96,77,110,XL,XL
185,67,100,79,97,S,L
168,60,103,88,114,L,XL
166,74,106,78,111,S,L
154,75,91,72,98,XS,M
188,85,99,85,113,L,XL
167,84,109,94,108,XS,L
156,87,97,84,98,XS,S
166,52,108,75,114,L,M
188,84,95,85,99,L,S
187,64,88,70,108,S,M
174,56,109,83,113,L,S
154,68,86,67,95,S,L
179,89,98,94,91,L,M
161,66,84,65,101,XL,L
153,50,98,79,114,L,M
173,78,89,79,109,XL,XL
153,55,87,88,113,XS,XL
173,54,109,75,91,M,S
167,58,106,65,104,M,S
168,87,90,87,98,M,S
161,89,87,74,102,XS,XL
166,57,92,84,108,L,XL
179,89,105,75,114,S,M
173,52,102,92,108,XS,S
160,62,102,71,85,M,S
172,83,97,81,93,XS,L
166,81,91,76,109,XL,XL
150,65,86,90,86,L,S
164,85,105,89,92,M,S
164,79,82,88,114,XL,L
177,51,109,67,88,M,M
173,62,86,82,105,XS,M
171,66,83,76,94,XS,L
168,64,87,88,85,S,M
161,69,87,83,95,L,XL
169,54,85,77,93,L,S
150,56,92,80,103,S,S
170,67,91,72,95,XL,L
150,60,82,91,88,L,M
159,81,85,91,107,L,L
181,76,101,70,89,L,L
188,75,98,74,105,M,L
171,86,90,89,101,S,S
167,77,83,74,102,L,L
181,51,94,93,89,S,M
176,69,81,70,102,XL,M
177,53,94,72,101,L,XL
167,62,96,82,110,XS,M
188,73,81,81,87,XS,S
178,87,86,90,95,XS,M
157,78,95,66,110,M,L
180,85,84,76,92,XL,XL
156,67,104,74,92,XL,M
185,57,98,73,107,XS,M
167,64,81,80,107,XL,L
187,66,94,71,86,XL,L
158,72,83,73,109,M,S
158,51,81,89,91,XS,XL
157,55,106,89,105,S,S
184,78,102,88,104,XL,M
167,76,89,70,108,XL,XL
154,86,101,94,105,XS,XL
163,83,103,91,90,M,S
177,67,108,74,104,L,M
179,59,84,71,102,XS,M
153,87,97,82,112,L,S
188,66,108,75,91,S,XL
169,62,83,65,112,L,XL
177,51,97,85,111,M,S
161,83,99,88,96,S,M
163,72,99,87,91,M,S
171,56,99,69,85,L,XL
180,87,93,92,113,M,L
172,82,106,90,94,S,S
169,61,105,93,94,M,XL
187,61,89,88,96,S,L
153,68,97,70,87,XL,M
164,58,88,86,87,XL,L
173,59,91,71,97,L,M
174,66,89,87,97,XS,L
150,89,103,68,111,XL,XL
180,59,100,80,111,S,M
161,61,98,92,87,XS,S
154,64,85,74,112,M,L
187,80,93,90,99,S,S
161,64,104,79,93,M,M
188,77,87,77,105,XS,M
167,53,102,72,90,M,L
151,85,93,86,90,S,S
156,82,94,68,93,S,L
188,75,93,80,95,XS,M
183,85,100,89,100,XL,M
155,54,91,66,113,XS,L
183,50,87,89,111,XS,L
164,55,98,89,101,XS,L
163,86,93,86,100,L,XL
155,51,84,87,104,XS,M
186,54,103,89,105,M,S
181,75,106,78,112,XS,L
152,62,88,78,102,XL,L
152,61,92,90,85,S,L
171,51,93,94,92,L,S
161,59,86,86,94,XS,S
178,62,95,71,86,XL,XL
166,51,90,71,93,XS,M
156,75,90,66,108,S,M
162,64,102,89,88,S,M
188,74,103,74,91,XL,XL
166,62,100,79,90,S,S
154,70,90,74,110,L,L
181,71,108,83,113,S,S
159,82,83,85,103,S,L
158,76,83,69,97,XL,L
162,71,106,92,111,XS,XL
168,79,82,84,109,XS,S
173,84,98,80,99,L,M
187,67,108,77,92,XS,M
153,54,100,92,88,L,XL
173,76,81,68,104,XS,S
184,55,85,80,92,XL,S
152,81,101,77,107,L,L
153,57,103,93,105,M,M
186,88,87,65,100,S,M
189,70,96,86,100,XS,M
184,67,84,68,86,S,S
174,64,105,79,101,L,M
189,75,91,90,107,S,M
162,81,84,90,109,M,XL
153,88,89,85,89,L,L
163,77,107,94,89,XS,XL
176,81,99,89,91,S,XL
155,62,87,80,89,XL,XL
166,64,80,68,110,XS,M
185,67,103,81,112,XL,M
189,88,85,75,112,XS,L
184,55,103,89,88,S,L
166,60,101,69,101,S,XL
151,81,90,90,90,M,S
162,89,82,77,98,L,S
151,69,107,76,93,M,L
175,89,90,91,110,XS,L
171,57,103,87,95,XS,XL
152,84,84,67,104,XS,S
184,54,107,68,105,L,XL
173,63,95,74,100,M,M
154,70,100,73,100,S,L
169,73,107,74,90,XL,M
188,66,86,77,99,M,S
162,83,88,76,93,XS,XL
161,61,86,75,85,XL,L
162,65,82,85,95,M,S
182,74,106,90,90,L,XL
189,83,91,87,108,XS,XL
165,77,100,78,89,XS,S
184,60,104,78,109,XS,XL
152,62,90,84,109,XL,M
154,80,108,87,112,XL,M
160,88,109,86,105,XL,M
156,59,81,89,96,M,S
183,50,106,84,86,M,L
152,74,103,88,91,L,XL
157,77,103,92,93,S,M
180,85,81,85,108,XL,L
160,67,93,85,110,L,XL
156,55,92,81,109,M,S
151,51,103,70,114,S,L
181,57,81,82,92,M,S
169,80,102,81,93,S,M
183,68,102,70,94,XS,L
165,55,98,69,96,XL,S
174,63,109,77,86,XS,S
161,52,96,80,94,XS,L
156,50,90,85,87,XS,M
188,79,95,73,85,L,S
166,68,99,76,101,XS,L
160,68,97,74,110,XS,S
172,56,87,77,85,XL,L
176,86,81,83,89,S,L
155,56,96,80,114,S,S
187,58,90,81,98,XL,L
171,74,95,94,93,XS,M
174,55,94,80,98,XL,L
164,67,82,88,88,XL,L
178,89,105,79,85,XS,S
157,70,86,76,90,XL,XL
186,64,108,69,91,L,XL
182,52,91,75,105,L,M
171,51,101,69,90,S,S
188,53,102,88,108,XL,S
167,81,103,75,85,L,S
186,78,98,83,96,XS,S
179,51,89,90,113,M,L
180,83,108,90,95,M,M
159,76,87,81,86,M,XL
167,87,95,76,108,XL,XL
172,67,91,84,86,L,L
182,85,108,91,92,XS,XL
165,68,109,87,105,L,L
187,76,108,89,109,M,XL
184,69,102,92,109,S,M
183,70,105,69,114,XL,L
179,74,85,65,109,L,S
162,80,104,66,91,XS,S
165,76,85,74,100,S,M
154,83,87,66,108,XL,XL
177,57,96,89,106,S,XL
188,68,91,74,93,M,L
169,75,109,87,100,S,M
173,77,101,82,86,XL,L
176,65,81,76,106,S,XL
175,59,98,81,103,M,S
156,87,85,89,111,M,S
154,58,83,82,104,XS,L
172,88,101,94,105,M,XL
177,85,84,77,96,XL,L
183,85,85,86,95,XL,S
164,68,94,67,104,XL,M
181,68,85,85,106,XS,S
175,61,87,74,103,L,L
180,62,88,78,110,M,S
168,74,100,72,90,S,S
158,85,101,74,94,XL,S
178,74,85,66,98,S,S
188,77,101,92,85,XL,XL
152,79,95,69,90,M,S
178,54,99,75,97,XS,S
160,66,80,88,108,XS,XL
182,67,109,65,110,S,XL
187,70,107,90,98,L,M
160,71,95,74,97,XS,XL
176,88,80,94,108,XS,M
182,55,80,91,100,L,M
170,65,86,93,85,XS,S
188,51,95,92,98,M,L
180,50,96,77,97,M,S
151,86,95,68,114,S,M
176,72,85,85,94,S,L
185,50,97,94,94,M,XL
160,68,101,74,112,S,XL
167,52,101,76,88,S,XL
150,51,107,78,98,M,L
184,86,106,91,96,L,XL
184,66,82,67,106,S,XL
180,77,87,92,90,XS,M
177,67,106,66,99,M,XL
188,82,83,92,89,L,L
150,64,108,83,94,XS,XL
174,71,102,75,93,XS,S
187,76,83,85,111,XL,M
152,81,101,82,108,XL,S
167,77,104,78,106,L,L
158,69,94,94,88,S,XL
151,74,104,71,97,XS,M
187,63,106,73,98,L,L
180,71,92,87,96,XS,L
159,75,103,94,97,XS,L
161,60,102,76,104,M,XL
185,56,109,93,97,S,S
170,66,97,70,107,M,XL
155,67,93,90,114,XL,XL
159,69,98,71,86,XL,M
154,87,101,86,105,L,L
175,60,105,68,103,M,M
170,65,86,80,93,XS,S
175,76,107,71,94,L,M
187,60,85,92,101,XL,M
175,65,84,72,94,L,S
157,72,83,72,104,XS,S
154,61,97,92,97,L,L
164,89,104,92,104,S,L
165,52,93,84,109,XL,S
150,51,95,90,114,M,S
165,87,102,89,85,XL,XL
186,73,102,67,86,XL,L
152,78,99,73,101,M,L
180,83,93,83,97,M,XL
162,69,84,77,101,XS,XL
165,67,101,71,112,XS,L
170,63,107,84,114,S,XL
151,67,90,85,97,L,L
187,50,97,79,103,L,L
175,69,83,83,111,XL,XL
187,83,92,66,98,XL,S
174,60,99,76,104,M,M
160,76,107,72,94,S,M
157,72,92,94,86,S,M
157,87,83,87,98,L,M
182,52,102,87,101,M,S
156,61,108,72,89,L,M
170,80,86,65,102,M,XL
157,72,102,92,87,L,L
170,50,81,88,100,S,S
169,69,100,74,110,XS,M
157,55,105,92,103,XL,M
180,60,97,94,102,L,M
178,84,100,94,104,M,XL
158,53,107,85,114,M,S
179,59,95,73,92,S,L
178,50,94,83,109,M,M
165,89,100,86,87,XL,S
185,57,99,89,110,XS,M
169,87,89,78,93,S,L
186,66,88,74,111,L,S
156,82,93,72,95,S,M
189,80,91,77,108,L,L
178,70,86,70,110,S,XL
165,52,90,85,107,L,L
187,51,96,94,98,M,S
177,84,104,77,107,S,XL
180,70,101,92,94,L,XL
163,61,102,84,114,S,M
158,61,95,77,102,L,XL
176,82,82,87,105,S,L
173,69,84,87,103,XS,XL
162,89,102,83,91,S,S
178,88,107,68,89,XL,XL
177,71,100,79,102,S,L
157,75,88,79,111,XL,S
178,56,96,86,96,XL,S
154,57,108,71,90,XL,L
185,73,94,69,101,M,L
176,73,107,72,93,L,L
151,89,100,89,110,M,S
174,61,87,87,105,L,L
158,57,87,74,85,M,L
176,58,107,94,96,M,XL
172,70,102,75,85,XL,L
159,80,89,94,88,S,M
174,73,84,67,91,S,M
152,53,95,91,104,S,XL
155,69,104,85,112,XS,L
155,65,98,67,89,L,XL
151,59,80,79,107,S,M
172,78,83,82,89,XS,L
151,54,86,72,91,XS,XL
171,78,81,77,96,S,XL
188,64,84,84,101,XL,XL
173,69,104,78,98,S,M
169,83,93,77,99,XS,XL
150,51,96,67,99,XS,S
150,65,91,77,99,XL,L
166,68,99,84,103,XL,M
150,83,91,88,95,XS,M
179,63,109,89,102,XS,XL
152,73,82,87,105,S,L
160,77,109,73,94,XL,S
173,81,100,94,105,S,XL
171,86,100,89,110,XS,L
175,59,105,80,93,L,XL
162,58,81,87,108,XL,L
150,73,100,87,87,S,M
173,85,104,72,85,XL,XL
159,78,100,76,105,L,S
184,78,94,90,95,M,L
173,72,90,92,100,XS,S
177,76,89,76,87,L,S
185,80,97,83,105,M,XL
165,56,102,88,93,S,L
165,63,102,93,114,M,S
166,59,103,79,101,L,L
164,83,105,86,85,M,M
165,75,100,82,93,S,S
164,72,81,71,87,S,S
183,58,86,77,112,S,S
160,86,86,83,94,S,M
150,57,103,80,89,S,M
164,63,86,75,109,M,XL
153,56,102,69,89,L,XL
184,52,108,66,98,S,S
162,63,104,65,96,L,L
159,66,103,80,103,S,S
160,71,81,69,93,L,M
183,77,102,89,91,XS,S
172,58,94,94,112,L,XL
156,75,90,73,112,XS,M
188,51,108,68,91,XL,M
152,60,89,83,98,XS,L
161,66,82,91,92,L,S
156,83,96,84,111,S,M
175,68,88,79,105,XL,L
182,88,109,71,102,L,M
186,67,94,88,111,S,XL
164,62,109,82,109,S,S
151,54,93,69,87,XL,S
181,73,96,93,114,M,L
153,78,101,89,86,S,XL
185,75,109,93,110,M,XL
162,77,99,92,103,S,S
150,63,87,70,106,S,XL
184,83,106,90,93,XL,L
179,80,86,76,86,S,L
165,80,105,82,94,XL,XL
168,86,91,68,91,L,S
150,64,104,92,103,S,S
154,64,85,84,85,M,XL
171,54,95,87,106,XS,XL
173,77,97,78,86,S,S
185,60,102,78,112,M,S
185,55,82,65,98,M,M
153,72,108,75,99,L,M
185,89,82,86,105,XL,XL
167,51,84,91,98,L,M
165,64,82,93,111,XS,L
167,72,98,73,92,XS,M
171,71,106,82,102,XL,S
151,58,84,92,106,XL,M
185,79,100,74,91,XS,XL
188,79,107,91,85,XL,M
175,50,80,80,93,M,L
166,57,96,68,103,S,L
165,67,90,72,90,M,S
158,67,88,70,113,M,M
180,81,100,87,99,XS,S
163,81,83,75,104,XL,XL
186,85,81,92,90,M,XL
151,85,107,89,93,XS,M
163,70,88,77,114,XS,L
184,80,104,75,110,M,XL
169,65,83,67,107,L,S
168,73,84,88,91,XL,XL
186,74,103,77,101,S,L
167,84,103,89,90,M,XL
165,66,108,74,112,XL,M
153,53,97,69,93,M,XL
156,79,105,75,98,L,L
163,73,103,87,90,S,XL
161,51,98,92,88,M,S
184,83,102,78,100,XS,S
154,72,82,92,107,XS,S
166,80,101,93,100,S,M
181,86,97,89,107,XS,S
159,62,85,84,113,M,M
166,82,85,79,93,L,S
154,56,103,77,88,M,L
158,81,84,90,114,XL,XL
182,56,109,67,92,XS,M
185,62,87,72,92,M,M
167,73,107,79,114,S,XL
158,77,104,87,108,M,M
178,81,80,65,90,L,M
163,67,100,66,92,S,XL
174,83,107,73,90,XS,S
164,83,85,85,110,XS,XL
155,87,99,81,98,S,L
178,50,93,73,98,S,S
164,80,90,65,102,S,M
178,50,81,72,97,XS,XL
153,65,100,69,99,XS,L
167,88,109,94,87,XS,L
165,82,83,92,107,XS,L
163,83,86,81,104,M,L
152,66,85,82,101,M,XL
187,74,82,87,104,S,M
167,55,88,82,100,XS,S
169,80,93,69,90,M,L
174,54,99,91,92,S,L
162,89,84,69,112,XL,M
153,79,93,92,97,L,XL
163,54,98,83,113,L,XL
182,61,87,91,114,XL,M
177,56,106,77,97,S,XL
186,62,86,86,104,XL,S
157,53,106,71,110,S,XL
183,52,106,90,101,L,S
154,61,86,78,105,XL,L
154,50,103,91,107,L,XL
180,76,102,90,106,XL,XL
158,62,82,91,87,XL,S
181,66,82,72,97,XS,L
182,57,97,67,91,M,L
179,69,80,68,89,L,L
161,66,84,74,95,L,M
152,84,83,82,102,XS,L
175,84,95,87,88,XS,S
179,87,94,76,104,L,M
175,67,106,84,112,XL,XL
151,88,97,79,111,XL,S
152,82,96,77,91,XL,M
153,72,93,76,88,M,S
162,86,98,86,85,M,M
172,70,92,73,101,M,L
158,59,97,84,87,XS,S
151,80,105,73,93,M,L
180,74,94,81,87,S,L
151,69,108,91,87,M,S
181,51,102,89,113,XL,M
167,64,106,65,93,XL,S
162,77,86,87,89,XL,XL
154,62,106,70,112,XS,M
159,63,98,71,108,L,L
186,84,88,68,109,S,L
179,86,90,80,96,M,M
156,74,84,76,90,XL,XL
155,64,81,73,91,XS,M
152,61,94,67,91,XS,S
162,58,103,90,107,M,XL
152,80,91,91,88,XS,S
175,63,89,91,113,XS,M
173,78,89,73,97,XS,L
155,87,99,93,99,M,L
161,57,90,81,102,XL,S
185,52,89,78,102,XS,XL
151,51,107,69,91,XS,S
160,65,86,90,94,L,XL
183,79,92,65,107,L,M
175,65,84,65,110,XL,L
167,80,108,67,107,L,L
170,77,98,73,113,M,XL
189,59,87,70,103,M,L
171,67,97,73,113,L,S
179,81,80,68,95,L,S
179,79,84,84,105,S,L
157,85,90,83,90,M,XL
183,58,99,69,113,XL,M
169,78,95,92,108,XL,M
174,77,94,74,103,XL,L
168,70,86,87,112,L,XL
154,51,94,80,98,L,S
160,84,108,87,104,XS,S
164,77,104,70,90,S,S
157,85,95,84,88,S,XL
168,80,85,87,110,XS,M
172,82,90,78,104,XL,L
